pathway	sample-53	sample-52	sample-54	sample-70	sample-55
PWY-5088	2469.771311348923	0.0	1455.3113661420025	0.0	0.0
PWY-5097	6171.257398647756	6055.26373309732	5527.217926374565	8669.194901975423	6878.941457324154
PWY-5100	5541.486000087767	5384.594864807832	4649.358261552479	8258.124554217524	6525.806161761079
PWY-5101	6977.018747386518	7035.717050611967	6338.6701986159815	9736.441677279954	8126.151757702128
PWY-5103	5982.652964741841	5988.913051102863	5471.190787177312	8507.426654404486	7185.662339647892
PWY-5104	6991.957932181977	6460.924060556092	6131.8178829016815	9317.82924822332	7590.61138725619
PWY-5121	5650.362471467217	5607.117989398728	5159.296818525119	7756.057637460143	6445.283925693928
PWY-5154	3519.845614349355	3404.33096818047	2878.0483397272496	4999.870968460858	3193.6401001092554
PWY-5177	922.281941204451	378.6919900643047	23.067201270910758	109.33981227416578	80.83493017524651
PWY-5181	0.0	0.15999911957057053	0.1599991899964562	0.0	0.0
PWY-5188	3661.7146565715952	1438.6943984839174	2678.9707852446777	663.8841228220584	2018.6854069867243
PWY-5189	3652.673729764289	1322.6812002511476	2617.594941726725	579.0913620076793	1796.6864936888849
PWY-5265	0.0	0.0	11.746639889797683	0.0	0.0
PWY-5304	33.0	674.6800000000001	42.0	150.02	1263.68
PWY-5345	1500.9420902816616	1125.6157704253405	72.75140519865093	541.0055194235695	2042.5522998449774
PWY-5347	2679.103163324078	1947.7959191257369	2045.8309010538144	4454.182854659286	3666.6697721055966
PWY-5384	912.9119760505471	841.0304789172304	706.2414700558054	2634.3594591823594	2272.935992515617
PWY-5417	0.0	0.1309090909090909	0.1309090909090909	0.0	0.0
PWY-5431	0.0	0.1309090909090909	0.1309090909090909	0.0	0.0
PWY-5484	2431.5206636481334	2280.3049741725476	1872.5861350017333	7825.405302371498	6188.05332560092
PWY-5505	1820.7878148115424	2972.1617852802997	2601.58165556928	5007.29552055342	4379.018048049083
PWY-5509	5125.749566960335	4028.0539465777497	4525.008482819327	4406.369066302413	4270.5466738390705
PWY-5532	152.2721709749684	2.7210395034514767	11.978739649549286	0.0	0.0
PWY-5659	4757.4371414141715	4954.067096812892	4208.743074225005	6760.661053345519	4717.734832014431
PWY-5667	6472.418597139338	6091.228889383004	5610.07011793079	8053.956754463295	7353.288520306987
PWY-5676	3424.171504858393	1023.925359678717	2138.6350136483134	1139.9240853965216	1391.1863707365733
PWY-5677	53.729395885728515	280.93997630973496	14.672425619986127	62.75821763878023	129.65605344734507
PWY-5686	6732.622192231956	6140.9893164767855	6035.779510708806	8938.739668597342	7350.851293552764
PWY-5695	5669.546693533304	5334.089960415574	4837.006381554166	7495.531757604866	5000.565885375761
PWY-5705	255.36456521850428	77.42413651974323	52.51900316395387	74.52932151296737	58.374397194213074
PWY-5837	553.2397509102766	72.23371831208115	30.663779990197376	2.332368250862727	204.8526588054574
PWY-5838	1241.2106108720209	233.3948665706315	100.97378489333342	7.985037383670081	591.3120805526504
PWY-5840	1252.8756714869698	233.40938402595881	101.12347361483494	7.984998361565813	594.3687063062202
PWY-5845	1056.7440687645108	162.52732341741074	55.02066712041641	0.0	0.0
PWY-5850	1056.7440687645108	162.52732341741074	55.02066712041641	0.0	0.0
PWY-5855	569.8993835013504	0.2999236343243792	14.402481099179896	0.0	105.20797831405814
PWY-5856	569.8993835013504	0.2999236343243792	14.402481099179896	0.0	105.20797831405814
PWY-5857	569.8993835013504	0.2999236343243792	14.402481099179896	0.0	105.20797831405814
PWY-5860	808.4688681921366	110.38681067776025	37.05052467681119	0.0	0.0
PWY-5861	974.7071402347619	159.8283452321097	68.57285930320757	5.327372989223781	426.17367878814935
PWY-5862	808.4688681921366	110.38681067776025	37.05052467681119	0.0	0.0
